UID	BLANK	GWEIGHT	2A4SA	2A4SA(2)	2A0SB	2A0SA	2A4SB	2A10SB	2A10SB-20	1A17SA	1A17SA-12	2A0SB(2)	2C0SB	2C7SA	1A7SB	2A10SA	2C10SA
MR-5 MC-4 R-9 C-16		1	1611.521209	273.0262819	364.1257508	744.4967532	913.0597164	651.5825052	636.3069461	294.5277267	669.3072085	723.5851918	670.7661103	406.7812872	468.1134673	532.9663528	448.9834464
MR-5 MC-4 R-10 C-1		1	129.6494245	51.52591811	79.27008547	115.9325146	-22.85814419	117.5466572	182.5816852	59.29078298	90.06735733	158.7386364	130.2024884	160.6695652	193.0217391	213.620137	145.1886362
MR-5 MC-4 R-10 C-2		1	1200.699123	216.644819	431.6484249	753.8824324	1017.297313	1008.359129	905.0398148	322.5206522	595.6250858	914.9956756	897.1181092	701.9409449	854.218658	959.4015884	718.0215211
MR-5 MC-4 R-10 C-3		1	2045.084407	241.2180751	528.5379182	1388.464805	1552.636375	1780.670683	1218.942834	384.2952071	941.061176	941.5875082	1202.844822	1094.276951	1167.219578	1134.767104	927.0796136
MR-5 MC-4 R-10 C-4		1	404.818531	81.7466235	132.1851552	432.2643902	640.1890177	567.2639657	340.8186141	137.5167942	420.397618	471.8133467	488.1480373	245.5501253	332.2875628	295.9181375	238.6852848
MR-5 MC-4 R-10 C-5		1	353.8909425	78.52905297	181.0507395	270.7225882	258.9012016	392.5095739	332.5713805	136.8529497	214.6603296	343.1476244	336.5133209	376.3809772	393.5627649	278.2465781	253.334219
MR-5 MC-4 R-10 C-6		1	81.24491934	29.25040862	63.16547996	139.2570806	131.3583007	134.8633838	124.5118951	33.8404821	130.4158121	168.7544535	185.4333279	89.3513431	123.33692	93.93005181	66.52939756
MR-5 MC-4 R-10 C-7		1	228.353244	56.49493272	70.20209184	182.6766737	332.063789	173.3913043	165.4116848	65.89058524	181.54937	233.6317398	291.071875	232.7686668	131.5573184	140.2377742	342.9624685
MR-5 MC-4 R-10 C-8		1	460.5642296	115.3274336	175.9460518	500.7295933	662.8672512	427.2477456	361.8971014	124.4685907	383.7315271	503.4942076	570.8953052	217.4666196	291.2742417	292.6739911	214.2472091
MR-5 MC-4 R-10 C-9		1	5834.622395	754.1897192	1333.311594	3094.904152	2836.945969	3937.687269	3397.598039	1003.70491	2117.916584	2590.812481	2746.191837	2578.173177	2839.352597	2714.090177	1952.97653
MR-5 MC-4 R-10 C-10		1	3930.546865	578.5410267	870.3422441	1691.325738	1926.587001	2290.211957	1688.236712	564.9206897	1863.215333	1718.925643	1508.156144	1637.910048	1406.578309	1334.182971	1459.646739
MR-5 MC-4 R-10 C-11		1	1875.192574	264.387327	657.1904173	832.0887097	917.7086861	1158.115008	1111.780797	238.359707	588.0357176	892.6205302	747.6175096	779.4231746	720.8811279	1078.760656	931.5136612
MR-5 MC-4 R-10 C-12		1	11185.53439	3108.397551	4456.920633	7569.681955	7348.464119	7328.267519	6051.940217	3964.302992	7487.298352	7591.537641	6426.91525	4469.925287	6916.764211	5620.190871	5387.409047
MR-5 MC-4 R-10 C-13		1	27915.62813	6028.831373	6565.399745	11228.5504	11847.74574	13685.55153	12704.79261	5138.925813	11451.13746	12264.89091	9829.289559	13466.45566	13587.5535	15861.99158	14039.12857
MR-5 MC-4 R-10 C-14		1	6983.578793	738.9574603	969.9658762	2314.37291	3089.119872	2374.705297	1877.638598	755.6395253	1823.548432	1999.908635	1793.06424	1336.884188	1217.719173	1841.86747	1616.441767
MR-5 MC-4 R-10 C-15		1	4587.904047	595.0929537	1221.680262	2301.139944	1748.006275	2340.148173	1989.294729	725.9612664	2115.713826	2161.948924	2040.821225	1291.615433	1582.017942	1586.83931	1227.102495
MR-5 MC-4 R-10 C-16		1	2748.778752	234.2210188	546.7111552	917.0060841	918.2201839	1006.366149	880.3332901	286.8560687	728.6169193	732.3482188	810.5548885	503.4749629	744.0560245	792.3293173	665.4337349
MR-5 MC-4 R-11 C-1		1	2707.131226	369.8010296	335.8382103	1654.986752	2220.06963	2081.911447	1125.772172	548.6725152	1490.007549	1621.811594	1885.624252	1293.106725	1088.050185	1121.3669	971.9690655
MR-5 MC-4 R-11 C-2		1	1187.524912	287.2223502	485.8640118	819.6656708	1371.528021	1461.699858	1020.708903	380.7214703	1148.605134	1245.326326	1442.995427	626.1986842	567.52	892.4689441	816.2339545
MR-5 MC-4 R-11 C-3		1	1874.179109	224.8420574	665.0235101	1498.330992	1283.860087	1604.209223	1214.709524	440.8048332	1008.722468	1272.316594	1540.980265	1407.565328	1507.588946	1416.382775	1229.567906
